排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803
1,chic,234,26909,4.3419,18048,0.0197,1.53,209,191,238,205,186,194,234
2,韩都衣舍,6,578,2.1667,313,0,0.42,,,6,,,,6
3,以纯,6,536,1.8333,279,0.0323,0,12,13,6,6,,,6
4,原宿,1002,37776,1.8024,26965,0.0215,2.04,1019,993,974,973,1018,1004,1002
5,bf,1541,48593,1.7521,35274,0.0244,1.73,1430,1488,1475,1478,1474,1535,1541
6,欧洲站,66,5144,1.6515,3646,0.0191,0.96,69,38,52,56,26,44,66
7,气质淑女,6,454,1.5,228,0,0,6,,,,,,6
8,mm,1569,35418,0.6087,26189,0.0666,3.92,1686,1651,1658,1553,1587,1583,1569
9,15,7,542,0.1429,326,0.0526,0,6,6,,8,,,7
10,夏天,6,695,-2.1667,408,0.0784,0.84,6,,6,,,,6