排名,搜索词,搜索增长幅度,搜索人气,点击率,点击人气,支付转化率,直通车参考价,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803
1,popo-boom,24.5455,1365,3.903,1345,0.0036,0,,,,,,,1345
2,牛仔短裤 夏 女,11.5,781,0.2588,243,0.0769,0.88,,,767,,147,,243
3,大码宽松哈伦牛仔裤女胖mm高腰学生长裤,10.6667,515,12.7143,205,0.0476,0,,,,,,,205
4,牛仔裤女夏2017新款 韩版秋季,8.1111,578,0.8498,358,0,0,,,,,,,358
5,破洞牛仔裤 女 夏,7.0909,613,0.2434,265,0,0.64,,,,,,,265
6,绒懿旗舰店,6.7143,425,1.0926,313,0,0,,,,,,,313
7,2017新款阔腿无弹牛仔裤,6.6154,662,2.2871,690,0,0,,,,,,,690
8,牛仔裤女夏2017新款 韩版 胖mm,5.1429,358,0.9327,189,0.0526,0,,,,,,,189
9,牛仔裤女春夏季2017新款 9分裤,4.7143,339,0.9747,265,0,0.42,228,,,,,,265
10,topshop绑带牛仔裤,4.2857,320,1.6373,306,0.0571,0,,,,,,,306
11,背带牛仔裤女九分裤宽松破洞阔腿夏季韩版时尚学生百搭女装潮包邮,4,339,3,339,0,0,,,,,,,339
12,九分牛仔裤 女 小脚裤,3.875,333,0.1382,147,0.1429,1.48,,,,,,,147
13,浪花一朵朵谭松韵同款牛仔短裤,3.6667,722,0.7824,547,0,0,,,,,250,,547
14,tttj72680q,3.625,320,1.219,197,0,0,,300,,,,,197
15,牛仔裤女夏2017新款 韩版弹力,3.5556,346,1.4306,250,0,0,,,,,,,250
16,薄款牛仔裤女夏,3.4,493,0.5925,250,0.037,0.91,,,,,,,250
17,潮短裤女,3.25,408,1.3059,272,0.0333,0.53,,265,,,,,272
18,流苏牛仔裤微喇叭九分裤女夏,3.1667,236,1.8272,172,0.1176,0,,,,,,,172
19,破洞裤女 韩版 潮学生黑色 牛仔,3.1429,265,1.029,147,0,0,,,,,,,147
20,eetj72506a,3.1429,265,0.3699,110,0.1,0,,,,,,,110
21,韩版破洞七分牛仔裤,3.0588,510,2.2754,493,0,0,,,,,,,493
22,凸傲旗舰店,2.8889,306,2.5,279,0.0968,0,,,,265,,,279
23,牛仔裤女 七分裤 宽松,2.8333,220,0.7273,155,0.0667,0.58,,,,,110,,155
24,牛仔裤批发5-10元包邮女,2.75,272,0.9185,189,0.0526,0,,,,,,,189
25,初恋裤女,2.7249,2845,0.3066,875,0,0,,,,,,365,875
26,绑带阔腿裤女 高腰 牛仔,2.7143,243,1.0678,119,0,0,,,,,,,119
27,软妹牛仔裤女宽松直筒,2.7,320,1.8837,138,0,0,,,,,,,138
28,tttj62651e,2.6667,213,1.2419,129,0.0833,0,,,,,,,129
29,班申牛仔短裤女夏高腰阔腿裙裤2017新款韩版宽松显瘦a字裙阔腿裤,2.6667,293,1.6178,265,0.2069,0,,,,,,,265
30,阔腿裤乞丐女牛仔 原宿 破洞,2.625,265,0.6423,155,0,0,,,,,,,155
31,tttj62631e,2.6,313,0.8611,189,0.0526,0,,80,,,,,189
32,2017夏装新款宽松牛仔短裤女学生韩版百搭a字热裤显瘦毛边阔腿裤,2.6,425,0.5323,258,0.0357,0,,,,,,,258
33,牛仔 裤 女长裤,2.5714,402,0.9697,313,0.0278,1.51,,,,,,,313
34,太牛派服饰,2.5714,236,4.4301,220,0.0435,0,,,,,,,220
35,sasa小姐 定制 2017夏重工水洗露口袋秒变大长腿牛仔短裤,2.5,205,0.8387,110,0.3,0,,,,,,,110
36,黑色毛边小脚牛仔裤女,2.5,205,1.2647,189,0.2105,0.34,,,,,,,189
37,烂牛仔裤女破洞 潮 宽松 韩版,2.5,205,0.6667,90,0.125,0,,,,,,,90
38,毛边牛仔裤休闲阔腿裤女,2.375,250,1.8276,220,0,0,,,,,,,220
39,女短裤夏季2017新款 韩版 百搭 高腰,2.3333,197,0.8514,100,0.1111,0,,,,,,,100
40,女裤子夏新款2017潮 韩版 学生 bf,2.3333,197,1.7581,119,0,0,,,,,,,119
41,膝盖破洞牛仔裤女宽松韩版高腰,2.2857,220,1.6897,129,0,0,,,,,,,129
42,香奈儿牛仔裤女,2.2222,265,0.3284,119,0,0,,,,,,,119
43,娜扎同款牛仔裤,2.1667,189,1.06,119,0,0,,,,,,,119
44,牛仔裤冬天女,2.1667,189,0.975,138,0,0.68,,,,,,,138
45,牛仔裤女9分裤,2.1667,189,1.3596,138,0,0.55,,,,,,,138
46,2017夏季新款九分阔腿牛仔裤女韩版宽松bf风百搭学生chic裤子潮秋,2.1667,326,1.1799,197,0.05,0,,,,,,,197
47,牛仔裤女七分夏,2.1667,189,0.8095,90,0,0.95,,,,,,,90
48,小码牛仔裤女 xs 24-25码高腰长裤,2.1667,189,0.8333,100,0,0,,,,,,,100
49,加绒牛仔裤女 宽松,2.1111,258,1.0087,164,0,0.54,,,,,,,164
50,背带裤女夏2017新款 韩版学生短,2.0909,300,0.6727,155,0.0667,0.19,,,,,,,155
51,2017秋季新款牛仔裤,2.0769,568,1,414,0,0.7,,,,,,,414
52,白色紧身短裤女,2,250,1.8832,220,0.0435,0,129,,,,,,220
53,牛仔裤女夏2017新款 韩版 显瘦新,2,205,0.3793,69,0,0,,,,,,,69
54,哈伦裤女牛仔夏,2,181,2.0656,119,0.0909,0.97,,,,,,,119
55,白色破洞背带裤,2,181,1.2981,129,0.1667,0.78,,,,,,,129
56,1100022-2033712-001,2,181,1.5789,129,0,0,,,,,265,,129
57,牛仔短裤女夏2017新款时尚 卷边,2,181,0.8393,119,0,0,,,,,,,119
58,夏牛仔短裤女2017新款,2,181,1.67,100,0.2222,0.69,,,,,,,100
59,牛仔裤简约女,2,205,1.5648,100,0,0.27,,,,,,,100
60,牛仔短裤女夏2017新款高腰韩版宽松显瘦学生破洞超短热裤,2,181,1.5213,100,0.5556,0,,,,,,,100
61,短裤女 牛仔裤 百搭 宽松 休闲,2,181,1.0172,110,0,0,,,,,,,110
62,tttj72631a,2,181,0.641,129,0,0,,,,,,,129
63,2017新款时尚毛边微喇九分裤,2,293,0.9848,286,0,0,,,,,,,286
64,绍姿女装旗舰店,2,181,4.7791,164,0.3125,0,,,,,,,164
65,女士背带短裤女2017新款 宽松,1.9091,286,0.8966,205,0,0,,,,,,,205
66,牛仔裤新款女2017 欧美时尚,1.9,265,0.3793,69,0,0,,,,,,,69
67,短裤女夏2017新款高腰牛仔绣花,1.875,220,2.0763,155,0,0,,,,,,,155
68,原宿风九分裤女bf 高腰宽松牛仔,1.875,220,1.4318,138,0,0,,,,,,,138
69,伊人秀牛仔短裤女2017新款,1.8571,197,1.7722,110,0.1,0,,,,,,,110
70,牛仔裤女 潮流 九分裤,1.8571,197,0.7912,129,0,0,,,,,,,129
71,牛仔短裤女夏宽松 阔腿 松紧腰,1.8571,197,1.5579,119,0,0,,,,,,,119
72,裤子女秋季2017新款 韩版 学生,1.8571,197,0.3404,80,0,0.76,,,,,,,80
73,高腰直筒九分裤,1.8571,197,1.5686,129,0.0833,0.62,,,,,,,129
74,新款欧美明星杨幂同款,1.8571,197,4.5,197,0,0,,,,,,,197
75,宽松牛仔裤女 九分裤 松紧腰,1.8333,172,1.2157,119,0.0909,0.6,,,110,,,,119
76,女士夏季短裤2017新款时尚高腰,1.8333,172,0.75,69,0,0,,,,,,,69
77,mind bridge 牛仔裤,1.8333,172,1.1111,138,0,0,,,,,,,138
78,女破洞裤子,1.8333,172,1.7571,119,0,0.54,,,,,,,119
79,海思堡牛仔,1.8333,172,0.2632,47,0,0,,,,,,,47
80,裤子女春季2017新款潮 韩版牛仔,1.8333,172,0.6739,110,0,0,,,,,,,110
81,小个子喇叭裤女夏150cm显高,1.8333,172,0.8495,110,0,0,,,,,,,110
82,背带短裤女夏2017新款 白色牛仔,1.8333,172,1.25,110,0.1,0.78,,164,,,,,110
83,牛仔短裤女夏2017新款 阔腿 高腰,1.8333,172,0.8036,100,0,0.37,,,,,,,100
84,l@bor短裤,1.8333,172,1.4918,100,0,0,,,,,,,100
85,牛仔裤女 哈伦裤 破洞,1.8333,172,0.9538,100,0,0.73,,,,,,,100
86,hd皇家牛仔裤,1.8333,172,1.9495,138,0,0,,,,,,,138
87,丽颖同款背带裤,1.8333,172,0.25,69,0,0,,,,,,,69
88,牛仔 短裤 胖mm,1.8182,279,1.4792,181,0.0556,0.84,,,,,,,181
89,铅笔裤女夏 长裤 高腰,1.8182,279,1.05,155,0,0,,,,,,,155
90,牛仔裤女春夏季2017新款微喇叭,1.8125,371,1.2019,181,0,0,,,,,,,181
91,黑色微喇叭牛仔裤女,1.8,437,1.183,396,0.2245,1.06,,,,,129,,396
92,中腰短裤女夏2017新款 修身显瘦,1.7778,236,1.0112,129,0.0833,0,,,,,,,129
93,春夏季新款宽松牛仔裤女九分裤阔腿裤高腰大码显瘦毛边直筒裤学生,1.7778,236,0.7462,197,0.15,0,,,,,,,197
94,chic牛仔裤女 显瘦,1.75,213,0.8036,119,0.0909,0,,,,,,,119
95,背带裤+女+夏,1.75,213,1.9065,164,0.0625,0,,,,,,,164
96,破洞微喇牛仔裤女,1.75,213,3.2185,164,0,0.5,,,,,,,164
97,牛仔长裤女紧身,1.75,213,1.3011,129,0,0.86,,,,,,,129
98,bf裤子 潮原宿风女 九分裤直筒,1.7273,272,1.0909,110,0,0,,,,,,,110
99,撞色牛仔短裤,1.7143,189,2.322,100,0,0.22,,,,,,,100
100,白色短裤紧身女,1.7143,189,1.344,181,0.1111,0,,,,,,,181
101,吊带长裤女夏2017新款 韩版学生,1.7143,189,1.45,138,0,0,,,,,,,138
102,mother 条纹 牛仔裤,1.7143,189,3.9577,189,0,0.9,,,,,,,189
103,牛仔短裤 宽松 女,1.7143,189,1.6772,155,0.0667,0.8,,,,,,,155
104,宽松阔腿裤女牛仔,1.7143,189,2.4109,138,0.0769,0.62,,,,,,,138
105,毛边破洞高腰刺绣七分牛仔裤,1.7143,189,0.5714,172,0,0,,,,,,,172
106,宽松牛仔裤九分裤,1.7143,189,2.4459,100,0,0.7,,,,80,,,100
107,依心缘牛仔裤,1.7143,189,1.6889,58,0,0,,,,,,,58
108,牛仔短裤 白色 女,1.7143,189,1.1333,164,0.3125,1,,,,,,,164
109,钉珠牛仔裤女2017新款 镶钻,1.7,250,1.5446,197,0,0,,,,,,,197
110,港风破洞裤女 ulzzang宽松,1.7,425,0.4178,197,0,0,,,,,,,197
111,牛仔高腰裤女夏,1.6667,164,1.7255,110,0,0.75,,,,,,,110
112,破洞白色短裤,1.6667,164,0.8509,119,0.0909,0.76,,,,,,,119
113,短裤女夏牛仔松紧腰,1.6667,164,1.2824,119,0,1.38,,,,,,,119
114,破洞牛仔裤女网袜,1.6667,164,1.2289,129,0.0833,0.41,,,,,,,129
115,套装超短裤女夏2017新款 学生,1.6667,164,0.9302,69,0,0,,,,,,,69
116,九分喇叭裤女牛仔,1.6667,164,1.6145,129,0.0833,0.91,,,110,,,,129
117,破铜牛仔裤女 宽松 韩版,1.6667,164,0.6857,90,0,0,,,,,,,90
118,代购夏膝盖破洞牛仔裤女,1.6667,164,0.8644,129,0.0833,0,,,,,,,129
119,牛仔裤女 加长,1.6667,286,1.3333,172,0.0588,0.69,,,,,,,172
120,牛仔短裤开叉,1.6667,228,1.2301,172,0,0.44,,,,,,,172
121,背带裤可拆卸女夏2017新款,1.6667,164,1.0455,129,0,0,,,,,,,129
122,女士时尚牛仔裤女2017新款 破洞,1.6667,164,1.0482,100,0,0,,,,90,,,100
123,破洞裤女 宽松 牛仔破洞 韩版黑色,1.6667,164,1.9853,119,0,0,,,,,,,119
124,破洞哈伦牛仔裤女九分小脚裤bf,1.6429,320,1.5029,205,0,0,,,,,,,205
125,牛仔裤 显瘦 百搭,1.625,205,0.1667,23,0,0,,,,,,,23
126,小热裤 女 夏,1.625,205,1.4921,100,0.1111,0,,,,,,,100
127,白色牛仔短裤女破洞毛边不规则,1.625,205,1.9632,172,0.1765,0,,,147,,,,172
128,牛仔裤女七分裤 2017春装新款,1.625,205,0.8051,138,0,0,,,,129,,,138
129,港风破洞裤女 宽松 学院风,1.625,205,0.7234,80,0,0,,,,,,,80
130,巴黎世家阔腿裤,1.6,243,0.2391,69,0,0,,,,,,,69
131,毛边短裤女夏2017新款 显瘦,1.6,243,2.1913,181,0,0,,,,,,,181
132,短裤女牛仔夏,1.5714,181,1.5926,138,0.0769,0.88,,,,,,,138
133,女牛仔裤 长裤 中腰,1.5714,181,1.4884,129,0.1667,1.02,,,,,,,129
134,家悦同款 快手裤子,1.5714,181,0.587,58,0,0,,,,,,,58
135,破洞牛仔裤女黑色高腰,1.5714,313,1.549,228,0.0417,0.53,,,,,,,228
136,依茸国际背带裤,1.5714,181,1.1957,138,0,0,,,,,,,138
137,短裤热裤女夏高腰,1.5714,181,1.191,110,0,0.51,,,,,,,110
138,女学生夏季牛仔裤宽松韩版哈伦,1.5714,181,1.1846,100,0,0,100,,,,,,100
139,秋季牛仔女裤,1.5714,181,1.0133,90,0,0,,,,,,,90
140,牛仔短裤女夏2017新款 韩版带花,1.5714,181,0.8,58,0,0.16,,,,,,,58
141,破洞牛仔短裤大码,1.5714,181,2.3942,147,0,0.58,,,,,,,147
142,女士夏天牛仔裤薄的 宽松 显瘦,1.5714,181,0.9792,110,0,0,,,,,,,110
143,女裤2017新款宽松牛仔 阔腿裤,1.5556,220,1.8293,155,0.1333,0,164,,164,,,,155
144,牛仔短裤女夏2017新款 韩版系带,1.5556,220,0.8,138,0,0.3,,,,,,,138
145,牛仔裤女春夏季2017新款七份裤,1.5556,220,0.8289,129,0,0,,,,,,,129
146,高腰牛仔短裤女夏2017新款 薄,1.5556,220,1.037,147,0,0,,,,,,,147
147,女牛仔五分裤夏2017新款,1.5556,220,0.9189,164,0,0.48,,,,,,,164
148,女款阔腿裤子2017春秋款牛仔裤,1.5556,220,0.8173,69,0,0,,,,,,,69
149,白色裤子女秋季2017新款 韩版,1.5556,220,0.9107,155,0,0,,,,,,,155
150,韩国代购牛仔阔腿裤,1.5556,220,1.5385,181,0.1111,0.06,,,,,,,181
151,高腰白色牛仔短裤女,1.5556,220,1.4038,147,0.0714,0.87,,,,,,,147
152,a2ha72327,1.5556,220,1.9412,138,0,0,,,,110,,,138
153,女韩版学院风牛仔裤,1.5556,220,2.2609,213,0,0.32,,,,,,,213
154,牛仔啦叭裤九分,1.5556,220,1.3021,147,0,0,,,,,,,147
155,slze女裤子正品,1.5455,258,0.4706,58,0,0,,,,,,,58
156,纯色破洞阔腿牛仔短裤女,1.5385,293,1.4179,272,0.0333,0,,,,,,,272
157,学生直筒裤女 学院风,1.5,197,1.3026,110,0,0.2,,,90,,,,110
158,七分裤女夏牛仔 学生,1.5,236,1,147,0.1429,0.52,,,,,,,147
159,牛仔裤女小学生,1.5,155,0.4359,80,0,0.84,,,,,,,80
160,小脚牛仔九分裤女,1.5,197,2.9041,147,0,0.91,,,,,,,147
161,短裤女夏2017新款 韩版 18-24周岁,1.5,197,1.3708,119,0.2727,0,,,,,,,119
162,牛仔短裤女夏2017新款韩版时尚,1.5,690,1.5448,652,0.1546,0,,,,,,,652
163,女裤子2017新款夏短,1.5,236,0.7162,100,0.3333,0.3,,,,,172,,100
164,白色短裤 毛边,1.5,155,1.2879,119,0,1.44,,,,,,,119
165,喇叭牛仔裤女 九分裤 高腰 阔腿,1.5,155,0.9268,80,0,0,,,,,,,80
166,夜店热裤 超短 性感,1.5,155,2.4167,129,0.0833,0,,,,,,,129
167,大码短裤女夏2017新款 胖mm,1.5,155,1.4,110,0.1,0.8,,,,,,,110
168,新款女超短裤夏季2017新款白色,1.5,155,1.7634,138,0.1538,0,,,,,,,138
169,杨幂同款裤子女2017破洞 宽松,1.5,155,0.25,47,0,0,,,,,,,47
170,牛仔裤不规则女,1.5,236,1.2979,147,0.0714,0.52,,,189,,,,147
171,胖妹妹高腰牛仔短裤,1.5,155,1.2645,129,0,0,,,,,,,129
172,牛仔裤深蓝女,1.5,197,0.7867,147,0,0.65,,,,,,,147
173,牛仔短裤 性感 百搭,1.5,155,0.625,47,0,0,,,,,,,47
174,夏季阔腿牛仔裤,1.5,272,1.1846,228,0.0833,0.56,,,,,,,228
175,蓝色阔腿牛仔裤,1.5,197,1.7955,100,0,0.36,,,,,,,100
176,短裤女紧身夏,1.5,197,1.4519,164,0.125,0.52,,,,,,,164
177,小k衣库,1.5,236,3.8265,197,0,0,,,,,,,197
178,风姿歌绣花牛仔裤女2017新款,1.5,197,0.8384,147,0,0,,,,,,,147
179,女牛仔裤夏季2017新款 韩版 百搭 九分裤,1.5,197,0.875,138,0,0,,,,,,,138
180,mini裤子女牛仔裤,1.5,197,3.5579,129,0,0,,,,,,,129
181,牛仔阔腿裤女冬季,1.5,155,1.6515,100,0,0,,,,,,,100
182,女生短裤牛仔2017新款女 韩版,1.5,155,2.0571,138,0,0,,,,,,,138
183,背带裤女夏2017新款 乐町,1.5,236,0.3529,100,0,0,,,,,,,100
184,牛仔ku女 九分裤 高腰,1.5,155,0.8125,80,0,0,,,,,,,80
185,高腰牛仔中裤女,1.5,197,1.64,138,0.0769,0.47,,,,,,,138
186,阔退牛仔裤女春夏季2017新款,1.5,197,1.5798,147,0.1429,0,,,,,,,147
187,女生紧身牛仔裤女韩版学生夏季,1.5,155,1.2588,129,0,0,,,,,,,129
188,无破洞牛仔裤女,1.5,155,0.1429,35,0,0,,,,,,,35
189,夏季女装牛仔短裤2017新款 韩版,1.5,155,1.0375,80,0,0,,,,,,,80
190,牛仔短裤女2牛仔短裤女破洞,1.4815,499,0.6019,365,0,0,,,,,,,365
191,cachecache牛仔短裤,1.4615,286,1.3125,213,0,0,,,,,,,213
192,初中生背带短裤女14-16岁夏,1.4444,213,0.8,147,0,0,,,,,,,147
193,gann135f81,1.4444,213,0.1714,47,0,0,,,,,,,47
194,宽松喇叭裤女2017新款 韩版,1.4444,213,1.1467,138,0,0,119,,,,,,138
195,牛仔裤女 潮流 宽松,1.4286,172,0.3871,69,0,0,129,,,,,,69
196,bf裤子 潮原宿风女 胖mm,1.4286,172,0.7733,147,0,0,,,,,,,147
197,高腰牛仔裤九分裤女显瘦 韩版,1.4286,300,1.6408,213,0,0,,,,,,,213
198,mormirr陌谜旗舰店,1.4286,172,1.0303,80,0,0,,,,,,,80
199,卡通牛仔短裤女,1.4286,172,1.4141,164,0.0625,0,,,,,,,164
200,短裤夏季女 韩版 宽松 学生高腰 修身显瘦,1.4286,172,0.5128,80,0.1429,0,,,,,,,80
201,十米菲短裤,1.4286,172,1.8144,129,0,0,,,,,,,129
202,大码牛仔直筒裤女,1.4286,172,2.1579,129,0.0833,0.88,,,,,,,129
203,包邮牛仔短裤女夏,1.4286,172,3.1176,181,0,0,,,,,,,181
204,牛仔连裤子连体女长裤,1.4286,172,1.016,100,0,0,,,,,,,100
205,超高腰牛仔裤女 九分裤,1.4286,172,1.6782,138,0,0,,,,,,,138
206,连体牛仔套装女 工装裤,1.4286,172,0.875,129,0,0,,,,147,,,129
207,牛仔裤女长款 高腰 紧身铅笔,1.4286,172,0.7381,100,0,0,,,,,,,100
208,大码8分裤女,1.4286,172,1.4595,129,0,0.47,,,,,,,129
209,背带裤夏女 牛仔,1.4286,172,0.7705,90,0,0.8,,,,,,,90
210,高腰牛仔短裤女夏紧身韩版学生,1.4286,172,1.1754,110,0,0,,,,,,,110
211,阔脚裤牛仔女宽松韩版原宿风,1.4286,172,1.1828,110,0,0,,,,,,,110
212,背带裤女百搭,1.4286,172,1.8171,58,0.6,0.81,,,,,,,58
213,牛仔短裤 显瘦 百搭,1.4286,172,1.1951,69,0.1667,0.43,,,,,,,69
214,破洞牛仔裤 黑色,1.4286,172,1.6667,129,0.0833,1.3,,,,,,,129
215,真维斯女牛仔裤,1.4286,172,0.913,119,0,0,110,,,,,,119
216,牛仔裤女夏 九分裤 18-24周岁,1.4286,172,1.3333,100,0,0,,,,,,,100
217,紧b裤女 超短,1.4202,1388,1.5837,870,0.0068,0.39,,,,,,,870
218,短裤女夏2017新款白色 韩版 宽松,1.4167,265,1.5877,172,0.0588,0.37,,,,,,,172
219,秋季女学生裤子2017新款 原宿风,1.4167,265,0.7299,181,0,0,,,,129,,,181
220,短裤女夏2017新款 百搭 热裤,1.4167,265,0.6706,119,0.0909,0,,,,,,,119
221,带钻牛仔裤女2017新款 钉珠,1.4,228,0.8587,129,0,0,,,,,,,129
222,欧货牛仔裤女2017新款 破洞,1.4,228,1.2168,147,0,0,,,,,,,147
223,女装破洞牛仔裤,1.4,228,0.9618,172,0,0.67,,,,,,,172
224,水洗牛仔裤女 宽松bf 韩版 直筒,1.4,228,0.8947,119,0,0,,,,,,,119
225,牛仔裤套装女2017新款欧洲站,1.375,189,0.881,58,0,0,,,,,,,58
226,裤子女夏超短裤,1.375,189,1,129,0,0,,,,,,,129
227,迪丽热巴牛仔裤,1.375,189,0.3953,69,0,0,,,,,,,69
228,牛子裤破洞女,1.375,189,0.8302,69,0,0.35,,,,,,,69
229,黑短裤女夏 韩版 宽松 学生黑色,1.375,189,1.0469,119,0,0,,,,,,,119
230,破洞牛仔裤女 九分裤 黑色,1.375,189,2.2048,129,0,1.18,,,,,,,129
231,女士牛仔裤秋天的新款,1.375,189,1.4783,119,0,0.9,,,,90,,,119
232,天丝牛仔背带裤女薄夏,1.375,189,0.7982,147,0,0,,,,,,,147
233,美国代购牛仔裤,1.375,189,1.625,100,0,0.81,,,,,,,100
234,女牛仔铅笔裤,1.375,189,1.6308,172,0.0588,1.07,,,,,,,172
235,黑色哈伦裤女学生韩版宽松牛仔,1.3636,243,1.1408,129,0,0,,,,,,,129
236,高腰紧身牛仔裤女九分,1.3571,293,1.7444,236,0.04,0.42,,,,,,,236
237,牛仔背带裤宽松女韩版学生可爱,1.3571,293,0.8407,181,0,0,,,,,,,181
238,短裤女夏 胖mm 韩版,1.3333,147,1.0392,90,0,0,,,110,,,,90
239,微喇叭七分裤女夏,1.3333,147,0.9697,80,0,0.47,,,,,,,80
240,宽松短裤牛仔女,1.3333,147,1.9691,129,0,0.8,,,,,90,,129
241,高腰a字牛仔短裤女夏 宽松 显瘦,1.3333,205,0.9851,138,0.1538,0,,,,,,,138
242,森马短裤女夏2017新款 牛仔,1.3333,205,0.6126,147,0,0,,,,,,,147
243,乞丐背带裤女 破洞 宽松,1.3333,147,0.4561,90,0,0.27,,,,,,,90
244,牛仔阔腿裤女学生韩版宽松 胖mm,1.3333,147,0.6923,69,0,0,,,,,,,69
245,有弹力的牛仔裤 女 高腰短裤,1.3333,147,0.9016,100,0.2222,0,,,155,,,,100
246,乞丐裤女 破洞 宽松2017 韩版胖mm,1.3333,147,1.15,58,0,0,,,,,,,58
247,牛仔裤女 韩版 学生,1.3333,205,1.2687,90,0,0.36,,,,,,,90
248,牛仔短裤粉色,1.3333,147,1.8333,119,0,0.36,,,,,,,119
249,加肥女裤加大码 弹力 9分牛仔裤,1.3333,147,0.7838,90,0.125,0,,,,,,,90
250,朴信惠同款裤子,1.3333,147,0.7273,80,0,0,,,,,,,80
